,,,,,,,,,,sd_reg_none(1)_greatdeal(5),sd_stop_cv_disagree(1)_stronglyagree(7),McD_following_sd_reg_disagree(1)_stronglyagree(7),TB_comparision_disagree(1)_stronglyagree(7),JITB_comparison_disagree(1)_stronglyagree(7),option_nocontact_delivery_UberEats_definitelynot(1)_definitelyyes(5),Change_PPE_McD_UberEats_definetlynot(1)_definityyes(5),Single_use_items_definitelynot(1)_definitelyyes(5),wash_hands_frequently_definitelyfalse(1)_definitelytrue(5),consiouos_spreading_germs_disagree(1)_stronglyagree(7),familiar_diff_delivery_apps_notfamiliar(5)_extremelyfamiliar(5),ordered_delivery_before_extremelyunlikely(1)_extremelylikely(5),UberEats_preference_donotprefer(1)_preferalot(5),DoorDash_preference_donotprefer(1)_preferalot(5),GrubHub_preference_donotprefer(1)_preferalot(5),cv_diagnosed_yes(1)_no(2),know_someone_diagnosed_cv_yes(1)_no(2),go_out_regularly_yes(1)_no(2),order_ff_more_frequently_stronglydisagree(1)_stronglyagree(7),care_about_deliveryfee_stronglydisagree(1)_stronglyagree(7),donotcare_deliveryfee_stronglydisagree(1)_stronglyagree(7),keep_ordering_after_cv_stronglydisagree(1)_stronglyagree(7),CDC_regulations_definitelyfalse(1)_definitelytrue(5),CDC_implementred_inside_extremelyuncomfortable(1)_extremelycomfortable(7),TB_comparison_CDC_reg_muchworse(1)_muchbetter(7),JITB_comparison_CDC_reg_muchworse(1)_muchbetter(7),McD_thoughts_extremelybad(1)_extremelygood(5),TB_thoughts_extremelybad(1)_extremelygood(5),JITB_thoughts_extremelybad(1)_extremelygood(5),food_handled_before_cv_stronglydisagree(1)_stronglyagree(7),food_handled_now_cv_stronglydisagree(1)_stronglyagree(7),see_changes_after_cv_stronglydisagree(1)_stronglyagree(7),employed_before_cv_yes(1)_no(2)_prefernot(3),keep_track_of_spending_habits_stronglydisagree(1)_stronglyagree(7),bought_ff_often_stronglydisagree(1)_stronglyagree(7),value_menu_before_cv_extremelyunlikely(1)_extremelylikely(7),McD_value_menu_before_cv_extremelyunlikely(1)_extremelylikely(7),TB_value_menu_before_cv_extremelyunlikely(1)_extremelylikely(7),JITB_value_menu_before_cv_extremelyunlikely(1)_extremelylikely(7),cv_effect_unemployment_yes(1)_no(2)_prefernot(3),unemployment_more_aware_spending_stronglydisagree(1)_stronglyagree(7),buy_ff_more_often_stronglydisagree(1)_stronglyagree(7),still_buy_value_menu_from_ff_stronglydisagree(1)_stronglyagree(7),McD_frequently_value_menu_never(1)_daily(5),TB_frequently_value_menu_never(1)_daily(5),JITB_frequently_value_menu_never(1)_daily(5),drive_through_when_ordering_stronglydisagree(1)_stronglyagree(7),drive_through_rush_stronglydisagree(1)_stronglyagree(7),small_orders_stronglydisagree(1)_stronglyagree(7),productivity_employess_stronglydisagree(1)_stronglyagree(7),faster_drive_through_stronglydisagree(1)_stronglyagree(7),only_drive_through_stronglydisagree(1)_stronglyagree(7),attention_check_somewhatgood(2),gender_male(1)_female(2)_prefernot(3),age,live_in_pullman_yes(1)_no(2),cv_impacted_living_status_yes(1)_no(2),english_first_language_yes(1)_no(2),,,
R_2y3ktMyf0QGVECb,Default Response Set,Anonymous,,,98.146.203.36,0,6/6/2020 15:12,6/6/2020 15:26,1,4,7,4,4,4,4,4,4,5,6,2,3,2,2,2,2,2,3,1,5,5,4,4,4,4,4,3,3,3,5,5,5,2,5,1,1,1,16,16,2,2,2,2,1,1,1,1,2,2,4,4,1,2,2,60,1,1,2,46.73139954,-117.1733017,-1
R_1kIdcJnHLjr4ZNq,Default Response Set,Anonymous,,,76.178.181.249,0,6/6/2020 22:19,6/6/2020 22:26,1,4,6,5,4,4,1,3,3,4,6,3,4,2,2,1,2,2,2,4,4,4,4,2,3,4,4,3,3,3,4,3,4,2,5,4,5,2,16,17,2,5,3,4,1,1,1,4,4,4,4,4,5,3,2,22,1,1,2,46.73139954,-117.1733017,-1
R_2YaKMTVk5wZEFNr,Default Response Set,Anonymous,,,69.166.47.134,0,6/7/2020 15:29,6/7/2020 15:34,1,5,7,7,6,5,5,5,4,5,7,3,3,2,3,1,2,2,2,7,6,4,4,4,7,6,4,4,4,3,1,7,6,2,6,6,4,2,17,16,2,1,6,5,2,2,1,5,6,6,6,6,5,2,2,20,1,1,2,46.73139954,-117.1733017,-1
R_2VKKOIOk39XP6x2,Default Response Set,Anonymous,,,172.58.91.13,0,6/7/2020 15:32,6/7/2020 15:40,1,5,6,6,5,5,3,4,4,5,6,3,4,2,3,1,2,2,1,4,4,3,5,4,5,4,4,4,3,4,5,4,4,2,5,2,3,2,16,17,2,5,2,4,2,1,2,4,5,3,5,2,4,3,2,26,2,2,2,37.75059509,-122.4121017,-1
R_SU9U3cxGdeyiM2B,Default Response Set,Anonymous,,,98.146.200.156,0,6/7/2020 16:03,6/7/2020 16:06,1,5,7,7,7,6,5,5,5,4,5,5,5,5,5,5,2,2,2,7,7,5,6,4,6,6,6,5,5,5,6,7,7,2,6,7,7,3,18,17,1,7,7,6,3,2,2,7,6,6,7,7,5,2,1,21,1,1,2,46.73139954,-117.1733017,-1
R_3Ejb4B9Y2cYOoMZ,Default Response Set,Anonymous,,,183.192.35.253,0,6/7/2020 18:10,6/7/2020 18:12,1,3,4,3,4,3,3,4,4,3,3,4,3,3,2,3,2,2,1,1,2,3,4,4,6,4,3,3,4,3,4,2,3,2,3,5,4,4,19,17,2,4,4,3,2,3,3,4,3,3,4,5,6,4,2,27,1,2,2,31.04490662,121.4012146,-1
R_1GJuO3FKDGSWhnb,Default Response Set,Anonymous,,,98.146.200.156,0,6/7/2020 18:09,6/7/2020 18:15,1,4,7,6,5,5,3,3,4,4,7,3,4,2,2,2,2,2,2,6,6,5,5,4,6,4,4,4,4,4,5,5,5,1,5,4,5,4,18,18,2,5,4,4,2,1,1,4,4,4,6,5,5,2,2,22,1,1,2,46.73139954,-117.1733017,-1
R_5yybE0l4Cydwmxb,Default Response Set,Anonymous,,,98.145.134.168,0,6/7/2020 18:10,6/7/2020 18:19,1,3,7,5,1,5,4,3,5,4,5,4,4,2,4,2,2,2,1,6,7,2,5,4,6,6,5,4,2,3,4,5,5,1,6,5,5,3,16,19,2,5,4,5,3,1,4,6,6,4,6,5,5,2,2,22,1,2,2,46.73139954,-117.1733017,-1
R_XiUjUU3SEb1Hxrb,Default Response Set,Anonymous,,,134.49.235.38,0,6/7/2020 18:16,6/7/2020 18:21,1,5,7,7,7,7,5,5,5,5,7,4,5,3,3,3,2,2,2,5,7,5,4,4,6,7,7,4,4,4,4,5,6,2,5,5,6,4,17,17,2,5,5,5,5,2,2,5,4,4,7,7,7,2,1,21,1,1,2,46.73139954,-117.1733017,-1
R_2sTOUvCdzhus3wd,Default Response Set,Anonymous,,,98.146.200.156,0,6/7/2020 18:16,6/7/2020 18:22,1,5,7,7,7,7,5,5,5,5,7,5,5,4,3,3,2,2,2,7,7,5,6,4,5,6,6,5,4,4,7,7,6,2,6,7,6,3,18,17,1,5,5,5,3,2,3,6,6,6,6,5,6,4,1,21,1,1,2,46.73139954,-117.1733017,-1
R_AA2AirjnaYbmkvv,Default Response Set,Anonymous,,,172.58.46.250,0,6/7/2020 18:18,6/7/2020 18:24,1,4,7,4,4,4,4,3,3,4,7,3,4,2,2,2,3,2,1,3,7,2,4,3,4,4,4,3,3,3,6,3,6,2,5,4,5,1,16,16,2,4,2,1,1,1,1,4,4,4,5,4,7,3,1,19,1,1,2,47.44410706,-122.3249054,-1
R_3oU8yngmUKJTuj3,Default Response Set,Anonymous,,,98.146.205.45,0,6/7/2020 18:09,6/7/2020 18:32,1,5,7,7,6,6,4,5,5,4,2,4,4,1,3,3,2,2,2,4,5,4,4,3,3,3,3,4,3,4,6,5,5,2,4,5,4,2,16,17,2,4,4,4,2,1,2,6,3,3,5,6,2,2,1,24,1,1,2,46.73139954,-117.1733017,-1
R_3PH4PEy4JSZeAFf,Default Response Set,Anonymous,,,173.72.6.215,0,6/7/2020 18:30,6/7/2020 18:34,1,4,1,4,4,4,5,3,3,5,6,4,4,4,4,3,2,1,1,3,3,3,3,2,4,2,2,3,3,3,3,3,3,2,6,2,3,3,18,16,1,3,1,2,2,3,1,1,1,4,4,3,4,2,2,24,2,1,2,40.26690674,-74.65110016,-1
R_1jHEh4nq0iehF3f,Default Response Set,Anonymous,,,36.113.97.57,0,6/7/2020 18:37,6/7/2020 18:40,1,3,3,2,4,3,3,3,3,3,4,3,3,3,3,3,2,2,3,7,6,4,4,3,3,4,3,3,3,3,2,2,5,2,3,5,3,2,19,19,2,3,4,3,5,5,5,2,2,2,3,1,3,3,1,30,1,2,2,31.04490662,121.4012146,-1
R_2dgMpDG6i1mkr6i,Default Response Set,Anonymous,,,76.178.181.17,0,6/7/2020 18:23,6/7/2020 18:41,1,1,2,4,2,1,2,2,3,3,4,3,3,3,3,2,3,2,3,2,2,5,3,3,5,3,4,5,4,3,2,2,2,3,3,3,4,3,19,17,3,4,3,5,3,5,4,3,3,4,3,4,5,3,1,24,1,1,2,46.73139954,-117.1733017,-1
R_2zTGZiMNKoh9M3P,Default Response Set,Anonymous,,,69.166.47.145,0,6/7/2020 18:38,6/7/2020 18:46,1,2,7,6,6,6,3,2,4,2,2,1,1,1,1,1,2,2,1,1,7,1,1,1,4,4,4,2,2,1,4,4,1,2,4,1,1,2,16,17,1,7,1,1,1,1,1,4,4,4,3,3,3,2,2,24,1,2,2,46.73139954,-117.1733017,-1
R_bfLYqUZcLlOmf2F,Default Response Set,Anonymous,,,69.166.46.137,0,6/7/2020 18:40,6/7/2020 18:46,1,5,7,7,6,7,3,4,4,5,3,1,1,1,1,1,2,2,2,1,1,1,1,5,7,7,7,5,5,5,4,6,7,2,4,6,4,3,17,16,1,4,6,6,3,2,1,7,7,7,5,4,4,2,1,27,1,1,2,46.73139954,-117.1733017,-1
R_sGrZivZ5qrR27Pr,Default Response Set,Anonymous,,,223.104.111.164,0,6/7/2020 17:48,6/7/2020 19:01,1,3,7,2,4,4,3,4,3,5,4,3,4,3,3,3,2,1,2,2,6,3,2,4,4,4,4,3,3,2,4,4,4,2,2,2,3,2,17,16,2,4,2,3,1,1,1,6,6,3,4,4,2,3,1,23,2,1,2,34.68359375,113.5325012,-1
R_ddqs39G258gNHt7,Default Response Set,Anonymous,,,73.254.108.3,0,6/7/2020 18:56,6/7/2020 19:01,1,5,6,6,4,4,3,3,3,5,6,3,4,3,3,1,2,2,1,2,2,2,5,4,5,4,4,3,3,3,4,5,5,2,5,2,3,2,16,17,2,5,2,4,2,1,2,4,4,4,5,2,4,3,2,26,2,2,2,47.83529663,-122.2839966,-1
R_1Fs1MRlfGhaTA30,Default Response Set,Anonymous,,,172.58.27.188,0,6/7/2020 19:11,6/7/2020 19:24,1,4,6,6,6,6,1,1,1,5,6,3,3,3,3,3,2,2,2,2,6,5,2,3,3,4,4,5,5,5,5,5,6,1,5,2,1,1,16,16,1,6,2,2,1,1,1,2,6,2,6,3,5,4,2,44,2,1,2,34.07719421,-117.4505997,-1
R_3EumTfypHmvtipI,Default Response Set,Anonymous,,,175.167.128.185,0,6/7/2020 19:17,6/7/2020 19:30,1,5,7,6,6,6,5,5,5,4,6,3,2,4,2,2,2,2,2,6,3,6,6,3,5,4,4,4,4,4,4,6,6,2,5,5,6,2,16,17,2,4,6,5,3,1,3,6,4,4,5,6,6,4,1,28,2,2,2,41.22610474,123.0560913,-1
R_u54ED73WENtnHbz,Default Response Set,Anonymous,,,108.172.152.59,0,6/7/2020 19:59,6/7/2020 20:09,1,5,7,7,4,4,3,2,2,5,7,1,2,2,2,2,2,1,2,2,7,2,1,2,3,3,3,2,2,2,7,2,7,2,7,2,2,4,16,16,1,6,2,1,1,1,1,4,4,4,4,4,4,2,1,21,2,1,2,49.25840759,-123.1455994,-1
R_3I0o68P28lVm7pI,Default Response Set,Anonymous,,,125.84.189.131,0,6/7/2020 21:55,6/7/2020 22:05,1,5,7,4,4,4,5,3,4,4,4,5,5,1,5,1,2,2,2,7,6,2,4,3,4,4,4,4,3,3,4,5,4,2,3,5,6,4,16,17,2,4,6,6,2,1,1,1,1,1,6,6,4,3,1,22,2,1,2,29.55690002,106.5531006,-1
R_2CIkedCQpZ3Dm1S,Default Response Set,Anonymous,,,69.166.47.171,0,6/7/2020 18:34,6/8/2020 0:18,1,5,5,6,4,4,4,4,2,2,5,2,3,2,4,3,1,3,2,5,2,3,4,2,5,2,5,3,4,4,3,3,1,2,5,4,2,3,18,19,2,4,3,3,4,4,2,2,3,4,3,2,5,3,3,31,1,1,2,46.73300171,-117.1789017,-1
R_sA3oD0Y0YWPfPln,Default Response Set,Anonymous,,,107.77.195.69,0,6/8/2020 2:17,6/8/2020 3:10,1,4,7,4,4,4,5,2,1,4,5,4,5,3,2,2,2,1,1,6,7,1,4,2,2,4,4,3,3,3,3,4,4,2,4,5,2,1,16,16,3,6,5,4,1,1,1,6,4,3,7,5,3,2,1,20,2,1,2,39.95869446,-82.998703,-1
R_30i4cbTj7TfzFo3,Default Response Set,Anonymous,,,24.18.102.168,0,6/8/2020 16:05,6/8/2020 16:07,1,1,5,3,6,6,3,1,4,4,6,3,4,4,2,4,2,1,2,3,5,5,2,4,3,3,5,3,2,3,3,6,1,2,4,2,6,4,18,18,3,3,2,7,4,3,3,4,4,4,5,5,3,3,2,26,1,1,1,47.01109314,-122.875,-1
R_2q3fpwqgBPZ4EtT,Default Response Set,Anonymous,,,69.166.47.173,0,6/8/2020 16:08,6/8/2020 16:22,1,4,7,4,4,4,2,1,4,4,7,1,1,1,1,1,2,2,1,1,6,5,1,2,4,4,4,4,4,4,6,6,5,1,4,2,2,1,16,16,2,4,2,5,1,1,1,2,4,4,5,6,6,4,2,28,1,1,2,46.73139954,-117.1733017,-1
R_2ARUQoXFtrhrzrX,Default Response Set,Anonymous,,,134.49.235.243,0,6/8/2020 16:20,6/8/2020 16:30,1,4,6,7,7,4,5,4,5,3,3,1,1,3,3,3,2,2,2,1,6,1,4,3,2,4,5,4,2,4,4,5,7,1,6,1,7,1,16,16,1,7,1,4,1,1,1,1,1,1,5,6,1,2,1,27,1,1,2,46.73139954,-117.1733017,-1
R_3JseWUaS1LA5a9P,Default Response Set,Anonymous,,,174.195.207.0,0,6/8/2020 16:41,6/8/2020 16:44,1,2,1,6,6,6,2,2,3,3,3,2,2,2,2,2,2,1,1,2,2,6,6,4,6,4,4,4,4,3,6,6,6,3,7,7,7,5,20,20,3,3,3,6,4,4,4,6,6,6,6,6,6,5,3,22,2,1,2,33.94490051,-117.3834,-1
R_1EhZZZkv0MswODs,Default Response Set,Anonymous,,,104.247.128.118,0,6/8/2020 16:45,6/8/2020 16:49,1,1,1,3,3,5,1,2,3,2,3,2,3,4,5,4,1,2,1,1,6,4,6,2,4,4,4,1,1,4,6,3,3,1,6,6,2,2,17,17,1,3,3,6,2,2,2,5,5,5,6,6,6,2,1,23,1,1,1,37.5625,-122.0003967,-1
R_2YrgtVdlajWKJkp,Default Response Set,Anonymous,,,136.36.11.200,0,6/8/2020 16:43,6/8/2020 16:51,1,4,7,4,4,4,4,3,3,4,5,2,3,3,3,3,2,1,2,2,7,7,3,4,3,4,4,4,3,3,6,2,7,1,5,3,6,2,17,16,1,5,2,7,2,2,1,2,2,2,5,3,5,4,2,26,2,1,2,40.23420715,-111.6442032,-1
R_2w5GdMT46ASTVch,Default Response Set,Anonymous,,,142.120.54.69,0,6/8/2020 16:52,6/8/2020 16:58,1,4,7,6,6,5,4,4,4,5,7,4,4,4,4,4,3,3,2,3,6,2,6,3,4,6,6,4,4,4,5,5,5,3,6,4,5,2,16,16,2,4,4,4,2,1,1,7,4,4,4,4,4,2,2,20,2,1,2,43.65350342,-79.40200043,-1
R_2wHspLuPL6HZmp9,Default Response Set,Anonymous,,,108.45.75.125,0,6/8/2020 16:53,6/8/2020 17:11,1,4,6,5,4,4,5,4,4,5,6,4,4,2,5,4,2,2,2,5,7,4,6,5,1,4,4,3,3,3,1,2,6,2,3,2,4,2,16,16,2,4,3,4,2,1,1,6,6,4,4,6,4,2,2,18,2,2,2,39.17230225,-77.18299866,-1
R_1EcC9afrxg1Mi2v,Default Response Set,Anonymous,,,76.178.133.136,0,6/8/2020 17:14,6/8/2020 17:19,1,5,7,4,4,4,5,3,3,5,6,5,5,3,1,2,2,1,1,4,6,2,5,3,4,4,4,3,3,3,6,2,6,2,4,4,4,1,16,16,2,6,2,4,2,1,1,6,6,6,4,2,4,2,2,20,1,1,2,46.73139954,-117.1733017,-1
R_brTqsViipewlZHX,Default Response Set,Anonymous,,,60.165.25.193,0,6/8/2020 17:40,6/8/2020 17:44,1,1,3,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,1,1,1,1,1,2,2,3,1,4,4,2,1,2,3,1,2,2,2,2,18,18,1,1,3,2,1,2,3,2,1,2,2,1,1,2,1,30,1,1,2,35.20820618,105.7456055,-1
R_3g5EqmTCn7h0qIy,Default Response Set,Anonymous,,,142.202.230.168,0,6/8/2020 16:32,6/8/2020 18:52,1,5,7,6,6,5,4,4,4,4,5,3,3,2,4,3,2,2,1,6,6,2,4,2,5,6,5,4,4,3,5,3,6,3,3,5,4,2,16,16,1,6,6,4,2,1,1,1,4,5,5,5,4,3,2,23,1,1,2,46.73139954,-117.1733017,-1
R_0fuCgJLWA4wywHn,Default Response Set,Anonymous,,,108.17.124.32,0,6/8/2020 19:38,6/8/2020 19:45,1,5,7,6,7,7,5,3,4,5,7,5,5,3,4,5,2,2,2,6,5,2,6,4,6,5,4,4,3,3,5,5,7,2,5,3,6,2,16,16,1,5,5,4,1,1,1,5,2,2,6,4,5,2,1,25,2,1,2,40.47250366,-79.9108963,-1
R_1FyR0cs579KLtmB,Default Response Set,Anonymous,,,76.229.165.76,0,6/8/2020 19:38,6/8/2020 19:48,1,4,7,4,4,4,5,2,5,5,5,3,5,2,2,4,2,2,2,6,7,6,6,4,6,4,4,4,4,3,2,4,6,1,5,6,6,2,17,16,1,6,4,6,2,2,1,2,6,4,6,6,2,4,1,25,2,1,2,25.60620117,-80.34519958,-1
R_3GEfyt167m3YUhe,Default Response Set,Anonymous,,,45.79.73.242,0,6/8/2020 19:40,6/8/2020 19:50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,no,1,1,1,37.5625,-122.0003967,-1
R_2l8bXUDVi2lUdkl,Default Response Set,Anonymous,,,142.162.113.123,0,6/8/2020 19:40,6/8/2020 19:54,1,4,6,6,5,6,3,4,3,4,5,2,5,3,3,3,2,2,1,3,4,6,2,4,5,6,6,4,3,3,6,5,6,2,5,2,5,2,17,17,2,5,2,2,2,2,2,4,4,4,4,2,2,3,1,20,2,1,2,44.68139648,-63.65709686,-1
R_DkRdJcQR00kpkSl,Default Response Set,Anonymous,,,120.84.12.232,0,6/8/2020 19:40,6/8/2020 19:59,1,2,6,4,4,4,4,3,3,5,4,5,3,2,1,2,2,2,2,4,4,4,4,3,6,4,5,3,3,3,4,4,4,2,4,4,4,1,16,16,1,6,4,4,1,1,1,4,4,4,4,4,4,3,2,26,2,2,2,23.02870178,113.1340942,-1
R_3JaYSPpHP6KuogE,Default Response Set,Anonymous,,,99.105.192.190,0,6/8/2020 19:56,6/8/2020 20:01,1,3,1,1,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,3,3,3,4,4,4,3,4,4,4,2,17,17,3,4,4,4,2,2,2,4,4,4,4,4,4,3,3,23,2,2,2,42.46069336,-83.45819855,-1
R_yQpyqxpeJjZ1AGd,Default Response Set,Anonymous,,,50.52.119.227,0,6/8/2020 20:00,6/8/2020 20:02,1,4,1,1,1,2,2,2,5,3,2,2,2,2,3,3,2,2,1,7,7,7,5,3,3,3,6,3,1,1,2,4,5,2,6,4,5,5,20,17,1,1,2,4,4,2,2,1,5,4,4,6,4,2,3,19,1,1,1,46.73139954,-117.1733017,-1
R_1gGRJCLqhN5GYLA,Default Response Set,Anonymous,,,72.217.43.177,0,6/8/2020 19:38,6/8/2020 20:04,1,5,7,4,7,7,5,5,5,3,7,3,2,5,3,3,2,2,1,4,2,4,7,4,3,3,5,4,3,5,3,4,3,2,3,3,4,2,16,18,1,3,7,7,5,1,3,7,7,6,7,7,7,2,1,22,2,1,2,32.21229553,-110.8789978,-1
R_swfDqPjXac4AX3H,Default Response Set,Anonymous,,,134.49.234.28,0,6/8/2020 18:12,6/8/2020 20:05,1,5,7,6,5,5,4,4,4,4,4,3,3,3,3,3,1,1,1,2,6,1,1,2,4,7,7,3,3,3,6,6,7,1,7,1,1,1,16,16,2,4,4,4,2,1,1,7,7,7,4,4,4,3,1,25,1,1,2,46.73139954,-117.1733017,-1
R_3HjDEKHSXvjMLDX,Default Response Set,Anonymous,,,98.146.206.65,0,6/8/2020 20:01,6/8/2020 20:12,1,5,7,6,4,4,1,1,1,5,4,1,1,1,1,1,2,1,2,1,1,3,1,2,1,4,4,4,3,3,6,7,7,1,2,1,7,2,16,16,2,4,1,1,1,1,1,1,1,1,4,4,4,3,2,30,1,2,2,46.73139954,-117.1733017,-1
R_1GZd5KzSKCZHZoL,Default Response Set,Anonymous,,,36.128.132.201,0,6/8/2020 20:10,6/8/2020 20:12,1,2,2,1,2,2,1,3,3,1,4,2,3,3,2,2,1,2,1,2,1,3,3,4,3,3,4,4,1,3,2,1,1,2,4,4,3,2,17,17,2,2,5,3,3,3,2,3,2,3,1,6,4,3,3,is,1,1,1,38.91220093,121.6022034,-1
R_1BPCZQR5msHqkFx,Default Response Set,Anonymous,,,123.185.79.121,0,6/8/2020 20:11,6/8/2020 20:13,1,1,4,4,3,5,1,4,3,3,3,1,4,4,3,2,2,1,1,1,2,3,5,3,3,3,4,4,3,2,2,3,5,2,5,7,3,4,18,17,2,2,2,3,4,2,1,2,3,5,1,5,5,3,3,20,2,1,2,38.91220093,121.6022034,-1
R_0p6xeg3utbOQkbn,Default Response Set,Anonymous,,,223.104.176.162,0,6/8/2020 20:12,6/8/2020 20:14,1,1,2,1,1,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,20,1,1,1,38.91220093,121.6022034,-1
R_1fk3tGO5wzI6qHJ,Default Response Set,Anonymous,,,112.42.54.246,0,6/8/2020 20:11,6/8/2020 20:14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,1,1,1,38.91220093,121.6022034,-1
R_1JOsoa2zLtBa7SN,Default Response Set,Anonymous,,,123.185.120.29,0,6/8/2020 20:11,6/8/2020 20:16,1,2,3,3,1,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,4,2,4,3,4,1,1,3,3,3,3,3,3,2,3,4,3,2,17,17,2,3,4,3,3,2,2,2,3,3,3,2,3,3,2,20,1,1,1,38.96670532,121.6333008,-1
R_TvmsRsTarTEVczL,Default Response Set,Anonymous,,,112.42.69.108,0,6/8/2020 20:14,6/8/2020 20:17,1,5,6,5,5,5,4,4,3,3,4,3,2,5,3,3,2,2,2,2,3,3,3,3,2,4,2,3,1,4,2,2,4,2,2,4,4,3,18,17,3,4,2,4,2,2,3,4,3,4,3,2,4,2,2,20,1,1,2,38.91220093,121.6022034,-1
R_2abq4SU1uJ6NFDv,Default Response Set,Anonymous,,,112.39.108.192,0,6/8/2020 20:14,6/8/2020 20:17,1,1,2,3,3,4,2,2,3,3,5,1,2,3,3,3,2,1,1,4,4,4,5,3,3,2,3,1,1,3,4,5,5,2,2,6,2,2,19,18,3,5,4,3,2,3,3,4,3,4,5,5,5,2,2,wsss,1,1,1,41.78059387,123.4312134,-1
R_0JIviCSHmq04H8R,Default Response Set,Anonymous,,,223.104.177.103,0,6/8/2020 20:17,6/8/2020 20:19,1,2,3,4,3,2,1,2,4,2,5,2,3,4,4,3,2,1,1,5,4,3,1,2,3,4,3,4,3,2,1,4,2,2,2,2,3,2,18,18,1,2,4,3,1,3,4,3,3,3,1,2,3,3,1,20,1,1,1,38.91220093,121.6022034,-1
R_3iyDS1wtUMKto5c,Default Response Set,Anonymous,,,59.46.232.114,0,6/8/2020 20:19,6/8/2020 20:21,1,3,3,4,6,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,1,3,3,3,4,4,4,3,4,3,4,3,19,18,3,4,3,3,2,3,2,4,4,4,4,4,4,3,1,21,2,2,2,38.91220093,121.6022034,-1
R_1ozsFwfmGQLccTp,Default Response Set,Anonymous,,,111.27.21.78,0,6/8/2020 20:26,6/8/2020 20:28,1,3,3,5,3,4,4,3,1,2,4,1,3,4,4,4,2,3,3,3,3,4,3,5,5,5,6,5,5,3,1,1,6,3,7,3,3,4,19,18,2,5,4,2,2,4,2,1,5,4,5,3,5,2,3,23,1,1,2,43.85079956,126.5603027,-1
R_BMprN0vZeehfAFr,Default Response Set,Anonymous,,,112.40.74.5,0,6/8/2020 20:25,6/8/2020 20:29,1,1,3,4,2,4,3,3,2,3,6,4,4,4,5,3,1,1,1,2,7,4,4,3,3,5,6,4,5,4,4,6,6,3,3,5,3,4,19,20,2,6,6,5,5,4,3,7,6,6,6,5,6,5,3,20,2,1,1,38.91220093,121.6022034,-1
R_1eQwY9z0P6WSqMG,Default Response Set,Anonymous,,,112.102.211.85,0,6/8/2020 20:28,6/8/2020 20:30,1,1,2,3,2,4,2,1,2,3,2,5,4,4,3,2,2,2,1,2,7,3,5,4,2,5,4,5,5,3,3,5,5,2,1,2,5,5,18,17,2,2,1,7,3,4,2,3,3,3,5,4,3,5,3,21,1,2,1,45.75,126.6499939,-1
R_3I5EUpWVvwQOfKk,Default Response Set,Anonymous,,,222.133.239.248,0,6/8/2020 20:35,6/8/2020 20:43,1,1,1,5,3,4,1,3,4,2,4,3,5,5,1,4,2,1,2,1,5,5,6,3,4,6,5,5,1,1,3,7,6,3,1,6,3,3,17,17,2,5,4,4,4,5,4,3,3,6,3,2,1,4,3,30,1,1,2,31.04490662,121.4012146,-1
R_3FWG1khFXOOrRT7,Default Response Set,Anonymous,,,223.104.237.108,0,6/8/2020 20:41,6/8/2020 20:43,1,1,2,2,1,2,1,3,1,3,1,2,1,3,2,1,3,2,1,1,1,4,3,2,2,3,2,3,1,1,1,1,1,3,1,2,4,1,17,18,2,1,1,1,2,1,2,1,3,4,1,1,1,3,3,19,2,1,2,38.91220093,121.6022034,-1
R_3fDiUmnfJyKGC2f,Default Response Set,Anonymous,,,172.58.43.132,0,6/8/2020 20:38,6/8/2020 20:47,1,3,7,6,2,6,4,4,5,5,7,1,3,1,1,1,2,2,2,3,5,4,4,4,6,4,4,4,4,4,3,6,5,2,6,3,5,2,16,17,1,6,3,4,1,1,2,5,5,4,5,4,4,3,2,26,1,2,2,47.44670105,-122.2684021,-1
R_2upqt9MXt9Z2S8b,Default Response Set,Anonymous,,,42.249.11.41,0,6/8/2020 20:52,6/8/2020 20:54,1,2,5,2,1,2,3,2,3,1,3,4,3,3,2,3,1,2,2,2,2,3,6,1,1,2,7,1,4,4,1,3,2,1,5,2,1,3,17,20,1,1,3,1,5,5,4,1,6,4,4,5,5,1,2,21,2,2,2,41.11669922,122.0499878,-1
